id,folder,image,date,time,label1,label2,label3,label2_index,timeInterval(second)
9abf11d2-be7d-11ed-895f-76a9ef438f50,210126,RCNX0451.JPG,2021/02/06,22:04:59,0,,,,
9d190fd2-be7d-11ed-895f-76a9ef438f50,210126,RCNX0452.JPG,2021/02/06,22:04:59,1,1,0,1,
9e4f8296-be7d-11ed-895f-76a9ef438f50,210126,RCNX0453.JPG,2021/02/06,22:05:01,1,0,0,,
9f3aff1e-be7d-11ed-895f-76a9ef438f50,210126,RCNX0454.JPG,2021/02/06,22:05:01,1,0,0,,
a01747b2-be7d-11ed-895f-76a9ef438f50,210126,RCNX0455.JPG,2021/02/06,22:05:02,1,0,0,,
a2e9b074-be7d-11ed-895f-76a9ef438f50,210126,RCNX0456.JPG,2021/02/06,22:05:02,1,0,0,,
a3ac976a-be7d-11ed-895f-76a9ef438f50,210126,RCNX0457.JPG,2021/02/06,22:05:03,0,,,,3
a5731c86-be7d-11ed-895f-76a9ef438f50,210126,RCNX0458.JPG,2021/02/06,22:05:04,1,1,0,2,
a6ec25d0-be7d-11ed-895f-76a9ef438f50,210126,RCNX0459.JPG,2021/02/06,22:05:04,1,0,0,,
a81b47c4-be7d-11ed-895f-76a9ef438f50,210126,RCNX0460.JPG,2021/02/06,22:05:05,1,0,0,,
aa16a280-be7d-11ed-895f-76a9ef438f50,210318,RCNX5271.JPG,2021/04/10,13:58:50,1,1,0,3,
ab2d6348-be7d-11ed-895f-76a9ef438f50,210318,RCNX5272.JPG,2021/04/10,13:58:51,1,0,0,,
ac068146-be7d-11ed-895f-76a9ef438f50,210318,RCNX5273.JPG,2021/04/10,13:58:52,1,0,0,,
ace69b32-be7d-11ed-895f-76a9ef438f50,210318,RCNX5274.JPG,2021/04/10,13:58:53,1,0,0,,
adc5e9f4-be7d-11ed-895f-76a9ef438f50,210318,RCNX5275.JPG,2021/04/10,13:58:53,1,0,0,,
af39fd20-be7d-11ed-895f-76a9ef438f50,210318,RCNX5276.JPG,2021/04/10,13:58:54,1,0,0,,
b0147d06-be7d-11ed-895f-76a9ef438f50,210318,RCNX5277.JPG,2021/04/10,13:58:55,1,0,0,,
b0f14420-be7d-11ed-895f-76a9ef438f50,210318,RCNX5278.JPG,2021/04/10,13:58:55,1,0,0,,
b18e486a-be7d-11ed-895f-76a9ef438f50,210318,RCNX5279.JPG,2021/04/10,13:58:56,0,,,,5
b20cc94c-be7d-11ed-895f-76a9ef438f50,210318,RCNX5280.JPG,2021/04/10,13:58:57,0,,,,
b2dbebb4-be7d-11ed-895f-76a9ef438f50,210419,RCNX3651.JPG,2021/05/10,11:45:48,0,,,,
b35bc15e-be7d-11ed-895f-76a9ef438f50,210419,RCNX3652.JPG,2021/05/10,11:45:49,0,,,,
b3d0c206-be7d-11ed-895f-76a9ef438f50,210419,RCNX3653.JPG,2021/05/10,11:45:50,0,,,,
b4394aba-be7d-11ed-895f-76a9ef438f50,210419,RCNX3654.JPG,2021/05/10,11:45:51,0,,,,
b4a387ea-be7d-11ed-895f-76a9ef438f50,210419,RCNX3655.JPG,2021/05/10,11:45:51,0,,,,
b5115f4a-be7d-11ed-895f-76a9ef438f50,210419,RCNX3656.JPG,2021/05/10,11:45:52,0,,,,
b57a54dc-be7d-11ed-895f-76a9ef438f50,210419,RCNX3657.JPG,2021/05/10,11:45:53,0,,,,
b5daa094-be7d-11ed-895f-76a9ef438f50,210419,RCNX3658.JPG,2021/05/10,11:45:53,0,,,,
b63f5840-be7d-11ed-895f-76a9ef438f50,210419,RCNX3659.JPG,2021/05/10,11:45:54,0,,,,
