id,folder,image,date,time,label1,label2,label3,label2_index,timeInterval(second)
462eb2b4-be80-11ed-87f0-76a9ef438f50,210114,RCNX1791.JPG,2021/03/06,18:37:16,1,1,0,1,
470f5346-be80-11ed-87f0-76a9ef438f50,210114,RCNX1792.JPG,2021/03/06,18:37:17,1,0,0,,
47bcc12a-be80-11ed-87f0-76a9ef438f50,210114,RCNX1793.JPG,2021/03/06,18:37:18,1,0,0,,
4886cfec-be80-11ed-87f0-76a9ef438f50,210114,RCNX1794.JPG,2021/03/06,18:37:18,1,0,0,,
49455764-be80-11ed-87f0-76a9ef438f50,210114,RCNX1795.JPG,2021/03/06,18:37:19,1,0,0,,
4a5f0654-be80-11ed-87f0-76a9ef438f50,210114,RCNX1796.JPG,2021/03/06,18:37:20,1,0,0,,
4bdc0644-be80-11ed-87f0-76a9ef438f50,210114,RCNX1797.JPG,2021/03/06,18:37:20,0,,,,4
4c771292-be80-11ed-87f0-76a9ef438f50,210114,RCNX1798.JPG,2021/03/06,18:37:21,0,,,,
4d8ecc7e-be80-11ed-87f0-76a9ef438f50,210629,RCNX0571.JPG,2021/07/06,23:37:23,1,1,0,2,
4e60710c-be80-11ed-87f0-76a9ef438f50,210629,RCNX0572.JPG,2021/07/06,23:37:24,1,0,0,,
4f1e5b4a-be80-11ed-87f0-76a9ef438f50,210629,RCNX0573.JPG,2021/07/06,23:37:24,1,0,0,,
4ff13376-be80-11ed-87f0-76a9ef438f50,210629,RCNX0574.JPG,2021/07/06,23:37:25,1,0,0,,
50b54db0-be80-11ed-87f0-76a9ef438f50,210629,RCNX0575.JPG,2021/07/06,23:37:25,1,0,0,,
519ce9a4-be80-11ed-87f0-76a9ef438f50,210629,RCNX0576.JPG,2021/07/06,23:37:26,1,0,0,,
52f8acde-be80-11ed-87f0-76a9ef438f50,210629,RCNX0577.JPG,2021/07/06,23:37:27,0,,,,3
53500b8c-be80-11ed-87f0-76a9ef438f50,210629,RCNX0578.JPG,2021/07/06,23:37:27,0,,,,
53e5a5d4-be80-11ed-87f0-76a9ef438f50,210629,RCNX0579.JPG,2021/07/06,23:37:28,0,,,,
542213fc-be80-11ed-87f0-76a9ef438f50,210629,RCNX0580.JPG,2021/07/06,23:37:28,0,,,,
